Year,Month,Day,Cases,
1984,10,20,75,20/10/1984
1984,10,27,51,27/10/1984
1984,11,3,78,3/11/1984
1984,11,10,116,10/11/1984
1984,11,17,67,17/11/1984
1984,11,24,73,24/11/1984
1984,12,1,81,1/12/1984
1984,12,8,94,8/12/1984
1984,12,15,71,15/12/1984
1984,12,22,71,22/12/1984
1984,12,31,39,31/12/1984
1985,1,7,128,7/1/1985
1985,1,14,193,14/1/1985
1985,1,21,120,21/1/1985
1985,1,28,133,28/1/1985
1985,2,4,151,4/2/1985
1985,2,11,208,11/2/1985
1985,2,18,211,18/2/1985
1985,2,25,257,25/2/1985
1985,3,4,276,4/3/1985
1985,3,11,285,11/3/1985
1985,3,18,252,18/3/1985
1985,3,25,287,25/3/1985
1985,4,1,316,1/4/1985
1985,4,8,291,8/4/1985
1985,4,15,318,15/4/1985
1985,4,22,458,22/4/1985
1985,4,29,354,29/4/1985
1985,5,6,314,6/5/1985
1985,5,13,280,13/5/1985
1985,5,20,367,20/5/1985
1985,5,27,445,27/5/1985
1985,6,3,409,3/6/1985
1985,6,10,506,10/6/1985
1985,6,17,455,17/6/1985
1985,6,24,367,24/6/1985
1985,7,1,472,1/7/1985
1985,7,8,514,8/7/1985
1985,7,15,495,15/7/1985
1985,7,22,500,22/7/1985
1985,7,29,412,29/7/1985
1985,8,5,415,5/8/1985
1985,8,12,367,12/8/1985
1985,8,19,355,19/8/1985
1985,8,26,283,26/8/1985
1985,9,2,155,2/9/1985
1985,9,9,177,9/9/1985
1985,9,16,125,16/9/1985
1985,9,23,94,23/9/1985
1985,9,30,103,30/9/1985
1985,10,7,114,7/10/1985
1985,10,14,118,14/10/1985
1985,10,21,92,21/10/1985
1985,10,28,121,28/10/1985
1985,11,4,102,4/11/1985
1985,11,11,105,11/11/1985
1985,11,18,79,18/11/1985
1985,11,25,76,25/11/1985
1985,12,2,89,2/12/1985
1985,12,9,56,9/12/1985
1985,12,16,77,16/12/1985
1985,12,23,87,23/12/1985
1985,12,31,38,31/12/1985
1986,1,6,144,6/1/1986
1986,1,13,165,13/1/1986
1986,1,20,103,20/1/1986
1986,1,27,94,27/1/1986
1986,2,3,91,3/2/1986
1986,2,10,124,10/2/1986
1986,2,17,132,17/2/1986
1986,2,24,119,24/2/1986
1986,3,2,137,2/3/1986
1986,3,9,110,9/3/1986
1986,3,16,145,16/3/1986
1986,3,23,172,23/3/1986
1986,3,30,163,30/3/1986
1986,4,6,178,6/4/1986
1986,4,13,209,13/4/1986
1986,4,20,183,20/4/1986
1986,4,27,153,27/4/1986
1986,5,3,144,3/5/1986
1986,5,10,131,10/5/1986
1986,5,17,134,17/5/1986
1986,5,24,178,24/5/1986
1986,5,31,136,31/5/1986
1986,6,7,139,7/6/1986
1986,6,14,182,14/6/1986
1986,6,21,120,21/6/1986
1986,6,28,116,28/6/1986
1986,7,4,114,4/7/1986
1986,7,11,110,11/7/1986
1986,7,18,109,18/7/1986
1986,7,25,77,25/7/1986
1986,8,1,86,1/8/1986
1986,8,8,91,8/8/1986
1986,8,15,64,15/8/1986
1986,8,22,54,22/8/1986
1986,8,29,31,29/8/1986
1986,9,4,52,4/9/1986
1986,9,11,43,11/9/1986
1986,9,18,43,18/9/1986
1986,9,25,36,25/9/1986
1986,10,2,30,2/10/1986
1986,10,9,45,9/10/1986
1986,10,16,35,16/10/1986
1986,10,23,50,23/10/1986
1986,10,30,58,30/10/1986
1986,11,5,63,5/11/1986
1986,11,12,39,12/11/1986
1986,11,19,53,19/11/1986
1986,11,26,61,26/11/1986
1986,12,3,56,3/12/1986
1986,12,10,44,10/12/1986
1986,12,17,48,17/12/1986
1986,12,24,33,24/12/1986
1986,12,31,35,31/12/1986
1987,1,7,87,7/1/1987
1987,1,14,76,14/1/1987
1987,1,21,73,21/1/1987
1987,1,28,74,28/1/1987
1987,2,4,80,4/2/1987
1987,2,11,73,11/2/1987
1987,2,18,77,18/2/1987
1987,2,25,81,25/2/1987
1987,3,4,73,4/3/1987
1987,3,11,81,11/3/1987
1987,3,18,77,18/3/1987
1987,3,25,96,25/3/1987
1987,4,1,141,1/4/1987
1987,4,8,116,8/4/1987
1987,4,15,162,15/4/1987
1987,4,22,108,22/4/1987
1987,4,29,121,29/4/1987
1987,5,6,67,6/5/1987
1987,5,13,106,13/5/1987
1987,5,20,70,20/5/1987
1987,5,27,80,27/5/1987
1987,6,3,128,3/6/1987
1987,6,10,71,10/6/1987
1987,6,17,109,17/6/1987
1987,6,24,91,24/6/1987
1987,7,1,103,1/7/1987
1987,7,8,125,8/7/1987
1987,7,15,86,15/7/1987
1987,7,22,89,22/7/1987
1987,7,29,83,29/7/1987
1987,8,5,76,5/8/1987
1987,8,12,91,12/8/1987
1987,8,19,68,19/8/1987
1987,8,26,41,26/8/1987
1987,9,2,42,2/9/1987
1987,9,9,43,9/9/1987
1987,9,16,41,16/9/1987
1987,9,23,55,23/9/1987
1987,9,30,53,30/9/1987
1987,10,7,44,7/10/1987
1987,10,14,34,14/10/1987
1987,10,21,45,21/10/1987
1987,10,28,68,28/10/1987
1987,11,4,52,4/11/1987
1987,11,11,53,11/11/1987
1987,11,18,77,18/11/1987
1987,11,25,84,25/11/1987
1987,12,2,82,2/12/1987
1987,12,9,95,9/12/1987
1987,12,16,132,16/12/1987
1987,12,23,170,23/12/1987
1987,12,31,207,31/12/1987
1988,1,7,245,7/1/1988
1988,1,14,142,14/1/1988
1988,1,21,142,21/1/1988
1988,1,28,154,28/1/1988
1988,2,4,177,4/2/1988
1988,2,11,253,11/2/1988
1988,2,18,258,18/2/1988
1988,2,25,237,25/2/1988
1988,3,3,265,3/3/1988
1988,3,10,266,10/3/1988
1988,3,17,293,17/3/1988
1988,3,24,334,24/3/1988
1988,3,31,293,31/3/1988
1988,4,7,296,7/4/1988
1988,4,14,387,14/4/1988
1988,4,21,307,21/4/1988
1988,4,28,252,28/4/1988
1988,5,5,186,5/5/1988
1988,5,12,306,12/5/1988
1988,5,19,271,19/5/1988
1988,5,26,246,26/5/1988
1988,6,2,222,2/6/1988
1988,6,9,367,9/6/1988
1988,6,16,306,16/6/1988
1988,6,23,260,23/6/1988
1988,6,30,273,30/6/1988
1988,7,7,242,7/7/1988
1988,7,14,277,14/7/1988
1988,7,21,174,21/7/1988
1988,7,28,181,28/7/1988
1988,8,4,122,4/8/1988
1988,8,11,116,11/8/1988
1988,8,18,99,18/8/1988
1988,8,25,73,25/8/1988
1988,9,1,65,1/9/1988
1988,9,8,34,8/9/1988
1988,9,15,16,15/9/1988
1988,9,22,50,22/9/1988
1988,9,29,84,29/9/1988
1988,10,6,83,6/10/1988
1988,10,13,68,13/10/1988
1988,10,20,58,20/10/1988
1988,10,27,74,27/10/1988
1988,11,3,57,3/11/1988
1988,11,10,75,10/11/1988
1988,11,17,48,17/11/1988
1988,11,24,46,24/11/1988
1988,12,1,42,1/12/1988
1988,12,8,33,8/12/1988
1988,12,15,25,15/12/1988
1988,12,22,39,22/12/1988
1988,12,31,23,31/12/1988
1989,1,7,44,7/1/1989
1989,1,14,47,14/1/1989
1989,1,21,39,21/1/1989
1989,1,28,49,28/1/1989
1989,2,4,44,4/2/1989
1989,2,11,57,11/2/1989
1989,2,18,47,18/2/1989
1989,2,25,66,25/2/1989
1989,3,4,55,4/3/1989
1989,3,11,71,11/3/1989
1989,3,18,58,18/3/1989
1989,3,25,55,25/3/1989
1989,4,1,59,1/4/1989
1989,4,8,70,8/4/1989
1989,4,15,60,15/4/1989
1989,4,22,56,22/4/1989
1989,4,29,54,29/4/1989
1989,5,6,48,6/5/1989
1989,5,13,45,13/5/1989
1989,5,20,56,20/5/1989
1989,5,27,37,27/5/1989
1989,6,3,40,3/6/1989
1989,6,10,57,10/6/1989
1989,6,17,31,17/6/1989
1989,6,24,40,24/6/1989
1989,7,1,53,1/7/1989
1989,7,8,48,8/7/1989
1989,7,15,39,15/7/1989
1989,7,22,39,22/7/1989
1989,7,29,44,29/7/1989
1989,8,5,44,5/8/1989
1989,8,12,21,12/8/1989
1989,8,19,26,19/8/1989
1989,8,26,29,26/8/1989
1989,9,2,29,2/9/1989
1989,9,9,20,9/9/1989
1989,9,16,20,16/9/1989
1989,9,23,20,23/9/1989
1989,9,30,32,30/9/1989
1989,10,7,24,7/10/1989
1989,10,14,35,14/10/1989
1989,10,21,24,21/10/1989
1989,10,28,27,28/10/1989
1989,11,4,40,4/11/1989
1989,11,11,30,11/11/1989
1989,11,18,41,18/11/1989
1989,11,25,41,25/11/1989
1989,12,2,48,2/12/1989
1989,12,9,32,9/12/1989
1989,12,16,26,16/12/1989
1989,12,23,48,23/12/1989
1989,12,31,18,31/12/1989
1990,1,7,26,7/1/1990
1990,1,14,28,14/1/1990
1990,1,21,20,21/1/1990
1990,1,28,23,28/1/1990
1990,2,4,35,4/2/1990
1990,2,11,25,11/2/1990
1990,2,18,34,18/2/1990
1990,2,25,40,25/2/1990
1990,3,4,22,4/3/1990
1990,3,11,22,11/3/1990
1990,3,18,34,18/3/1990
1990,3,25,48,25/3/1990
1990,4,1,38,1/4/1990
1990,4,8,41,8/4/1990
1990,4,15,32,15/4/1990
1990,4,22,19,22/4/1990
1990,4,29,20,29/4/1990
1990,5,6,24,6/5/1990
1990,5,13,34,13/5/1990
1990,5,20,20,20/5/1990
1990,5,27,29,27/5/1990
1990,6,3,26,3/6/1990
1990,6,10,23,10/6/1990
1990,6,17,36,17/6/1990
1990,6,24,24,24/6/1990
1990,7,1,30,1/7/1990
1990,7,8,37,8/7/1990
1990,7,15,37,15/7/1990
1990,7,22,41,22/7/1990
1990,7,29,29,29/7/1990
1990,8,5,29,5/8/1990
1990,8,12,30,12/8/1990
1990,8,19,23,19/8/1990
1990,8,26,8,26/8/1990
1990,9,2,12,2/9/1990
1990,9,9,20,9/9/1990
1990,9,16,18,16/9/1990
1990,9,23,8,23/9/1990
1990,9,30,17,30/9/1990
1990,10,7,26,7/10/1990
1990,10,14,21,14/10/1990
1990,10,21,27,21/10/1990
1990,10,28,20,28/10/1990
1990,11,4,20,4/11/1990
1990,11,11,23,11/11/1990
1990,11,18,19,18/11/1990
1990,11,25,34,25/11/1990
1990,12,2,25,2/12/1990
1990,12,9,30,9/12/1990
1990,12,16,17,16/12/1990
1990,12,23,40,23/12/1990
1990,12,31,7,31/12/1990
1991,1,7,11,7/1/1991
1991,1,14,22,14/1/1991
1991,1,21,23,21/1/1991
1991,1,28,13,28/1/1991
1991,2,4,25,4/2/1991
1991,2,10,22,10/2/1991
1991,2,18,34,18/2/1991
1991,2,25,21,25/2/1991
1991,3,4,31,4/3/1991
1991,3,11,26,11/3/1991
1991,3,18,27,18/3/1991
1991,3,25,27,25/3/1991
1991,4,1,14,1/4/1991
1991,4,8,16,8/4/1991
1991,4,15,19,15/4/1991
1991,4,22,17,22/4/1991
1991,4,29,22,29/4/1991
1991,5,6,21,6/5/1991
1991,5,13,9,13/5/1991
1991,5,20,16,20/5/1991
1991,5,27,28,27/5/1991
1991,6,3,23,3/6/1991
1991,6,10,20,10/6/1991
1991,6,17,31,17/6/1991
1991,6,24,29,24/6/1991
1991,7,1,19,1/7/1991
1991,7,8,29,8/7/1991
1991,7,15,32,15/7/1991
1991,7,22,19,22/7/1991
1991,7,29,22,29/7/1991
1991,8,5,27,5/8/1991
1991,8,12,28,12/8/1991
1991,8,19,16,19/8/1991
1991,8,26,20,26/8/1991
1991,9,2,16,2/9/1991
1991,9,9,26,9/9/1991
1991,9,16,14,16/9/1991
1991,9,23,16,23/9/1991
1991,9,30,23,30/9/1991
1991,10,7,12,7/10/1991
1991,10,14,8,14/10/1991
1991,10,21,23,21/10/1991
1991,10,28,16,28/10/1991
1991,11,4,8,4/11/1991
1991,11,11,20,11/11/1991
1991,11,18,18,18/11/1991
1991,11,25,16,25/11/1991
1991,12,2,9,2/12/1991
1991,12,9,14,9/12/1991
1991,12,16,17,16/12/1991
1991,12,23,21,23/12/1991
1991,12,31,11,31/12/1991
1992,1,6,19,6/1/1992
1992,1,13,24,13/1/1992
1992,1,20,17,20/1/1992
1992,1,27,26,27/1/1992
1992,2,3,19,3/2/1992
1992,2,10,11,10/2/1992
1992,2,17,13,17/2/1992
1992,2,24,21,24/2/1992
1992,3,1,19,1/3/1992
1992,3,8,19,8/3/1992
1992,3,15,28,15/3/1992
1992,3,22,26,22/3/1992
1992,3,29,30,29/3/1992
1992,4,5,28,5/4/1992
1992,4,12,30,12/4/1992
1992,4,19,28,19/4/1992
1992,4,26,20,26/4/1992
1992,5,2,19,2/5/1992
1992,5,9,24,9/5/1992
1992,5,16,20,16/5/1992
1992,5,23,24,23/5/1992
1992,5,30,17,30/5/1992
1992,6,6,24,6/6/1992
1992,6,13,17,13/6/1992
1992,6,20,6,20/6/1992
1992,6,27,25,27/6/1992
1992,7,3,23,3/7/1992
1992,7,10,19,10/7/1992
1992,7,17,16,17/7/1992
1992,7,24,24,24/7/1992
1992,7,31,36,31/7/1992
1992,8,7,26,7/8/1992
1992,8,14,17,14/8/1992
1992,8,21,6,21/8/1992
1992,8,28,17,28/8/1992
1992,9,3,17,3/9/1992
1992,9,10,11,10/9/1992
1992,9,17,16,17/9/1992
1992,9,24,12,24/9/1992
1992,10,1,19,1/10/1992
1992,10,8,27,8/10/1992
1992,10,15,15,15/10/1992
1992,10,22,17,22/10/1992
1992,10,29,29,29/10/1992
1992,11,4,14,4/11/1992
1992,11,11,13,11/11/1992
1992,11,18,12,18/11/1992
1992,11,25,15,25/11/1992
1992,12,2,28,2/12/1992
1992,12,9,14,9/12/1992
1992,12,16,12,16/12/1992
1992,12,23,9,23/12/1992
1992,12,31,18,31/12/1992
1993,1,7,23,7/1/1993
1993,1,14,19,14/1/1993
1993,1,21,28,21/1/1993
1993,1,28,22,28/1/1993
1993,2,4,25,4/2/1993
1993,2,11,32,11/2/1993
1993,2,18,18,18/2/1993
1993,2,25,19,25/2/1993
1993,3,4,33,4/3/1993
1993,3,11,29,11/3/1993
1993,3,18,43,18/3/1993
1993,3,25,25,25/3/1993
1993,4,1,36,1/4/1993
1993,4,8,21,8/4/1993
1993,4,15,23,15/4/1993
1993,4,22,41,22/4/1993
1993,4,29,31,29/4/1993
1993,5,6,33,6/5/1993
1993,5,13,23,13/5/1993
1993,5,20,34,20/5/1993
1993,5,27,33,27/5/1993
1993,6,3,29,3/6/1993
1993,6,10,23,10/6/1993
1993,6,17,11,17/6/1993
1993,6,24,11,24/6/1993
1993,7,1,19,1/7/1993
1993,7,8,15,8/7/1993
1993,7,15,12,15/7/1993
1993,7,22,15,22/7/1993
1993,7,29,23,29/7/1993
1993,8,5,9,5/8/1993
1993,8,12,16,12/8/1993
1993,8,19,26,19/8/1993
1993,8,26,11,26/8/1993
1993,9,2,8,2/9/1993
1993,9,9,12,9/9/1993
1993,9,16,13,16/9/1993
1993,9,23,14,23/9/1993
1993,9,30,17,30/9/1993
1993,10,7,17,7/10/1993
1993,10,14,24,14/10/1993
1993,10,21,19,21/10/1993
1993,10,28,20,28/10/1993
1993,11,4,18,4/11/1993
1993,11,11,17,11/11/1993
1993,11,18,15,18/11/1993
1993,11,25,16,25/11/1993
1993,12,2,24,2/12/1993
1993,12,9,18,9/12/1993
1993,12,16,21,16/12/1993
1993,12,23,19,23/12/1993
1993,12,31,11,31/12/1993
1994,1,7,25,7/1/1994
1994,1,14,24,14/1/1994
1994,1,21,25,21/1/1994
1994,1,28,25,28/1/1994
1994,2,4,23,4/2/1994
1994,2,11,31,11/2/1994
1994,2,18,37,18/2/1994
1994,2,25,39,25/2/1994
1994,3,4,39,4/3/1994
1994,3,11,36,11/3/1994
1994,3,18,50,18/3/1994
1994,3,25,55,25/3/1994
1994,4,1,33,1/4/1994
1994,4,8,37,8/4/1994
1994,4,15,54,15/4/1994
1994,4,22,42,22/4/1994
1994,4,29,39,29/4/1994
1994,5,6,44,6/5/1994
1994,5,13,51,13/5/1994
1994,5,20,47,20/5/1994
1994,5,27,40,27/5/1994
1994,6,3,40,3/6/1994
1994,6,10,43,10/6/1994
1994,6,17,44,17/6/1994
1994,6,24,45,24/6/1994
1994,7,1,31,1/7/1994
1994,7,8,31,8/7/1994
1994,7,15,29,15/7/1994
1994,7,22,29,22/7/1994
1994,7,29,24,29/7/1994
1994,8,5,40,5/8/1994
1994,8,12,32,12/8/1994
1994,8,19,27,19/8/1994
1994,8,26,22,26/8/1994
1994,9,2,16,2/9/1994
1994,9,9,15,9/9/1994
1994,9,16,12,16/9/1994
1994,9,23,19,23/9/1994
1994,9,30,20,30/9/1994
1994,10,7,42,7/10/1994
1994,10,14,59,14/10/1994
1994,10,21,56,21/10/1994
1994,10,28,41,28/10/1994
1994,11,4,27,4/11/1994
1994,11,11,37,11/11/1994
1994,11,18,41,18/11/1994
1994,11,25,39,25/11/1994
1994,12,2,34,2/12/1994
1994,12,9,27,9/12/1994
1994,12,16,25,16/12/1994
1994,12,23,22,23/12/1994
